fixed.Estimate,fixed.Est.Error,fixed.l.95..CI,fixed.u.95..CI,fixed.Eff.Sample,fixed.Rhat,Metric,Term,run
-0.100815026,0.637491903,-1.475753717,1.026108415,5274.811953,1.000437955,Gains,Temp change,1
0.030307856,0.010924298,0.008754641,0.051501611,19257.76662,1.000074976,Gains,Average Temp,1
0.38090977,0.177194432,0.032637818,0.72716788,25302.58924,0.99983669,Gains,Interaction,1
0.298019743,1.059793205,-1.702813815,2.384903887,2768.473104,1.001284298,Gains,Temp change,2
0.006640368,0.010571015,-0.013960547,0.027479561,14841.84666,1.000081716,Gains,Average Temp,2
0.247903749,0.184679045,-0.110693399,0.607197749,16742.17492,1.00007002,Gains,Interaction,2
-0.581508149,0.950124721,-2.621756623,1.211201476,5791.212142,1.000625915,Gains,Temp change,3
0.008236558,0.009671714,-0.010607398,0.027366927,18244.29928,0.999907805,Gains,Average Temp,3
0.242737225,0.164766876,-0.0748739,0.570214753,21802.63302,0.999837716,Gains,Interaction,3
0.198389737,0.523222024,-0.956806381,1.142740728,5625.897606,1.000284429,Gains,Temp change,4
0.012829231,0.009947045,-0.0064948,0.032241197,21776.88236,1.000022029,Gains,Average Temp,4
0.257554136,0.165099976,-0.062647301,0.583043287,22951.52362,0.999917545,Gains,Interaction,4
-0.133959183,0.859508264,-2.031594702,1.520201144,6384.933051,1.000323407,Gains,Temp change,5
0.009878473,0.009431059,-0.008790863,0.028223241,22084.95803,0.999935602,Gains,Average Temp,5
0.228122116,0.161664373,-0.094486472,0.546808569,22649.96989,0.999778097,Gains,Interaction,5
0.498621858,1.015032333,-1.41105223,2.510487881,3966.172024,1.000365589,Gains,Temp change,6
0.025419608,0.011222914,0.003600138,0.047371888,18121.6328,1.000060094,Gains,Average Temp,6
-0.360152796,0.21446508,-0.780875145,0.056373008,21404.1951,0.99998219,Gains,Interaction,6
0.294946924,0.526839323,-0.708773505,1.421156986,7346.986713,1.000092814,Gains,Temp change,7
0.019230545,0.010695792,-0.001730702,0.040303529,20593.7418,0.999927026,Gains,Average Temp,7
0.062206243,0.192048628,-0.315776711,0.438077283,23357.69205,0.999898946,Gains,Interaction,7
0.864711708,0.998559406,-0.959347959,2.873110247,3801.927737,1.00030328,Gains,Temp change,8
0.003506161,0.010416447,-0.017026416,0.024103565,17634.48132,0.999850983,Gains,Average Temp,8
0.469342541,0.181462008,0.112892839,0.828153155,20027.7228,0.999919864,Gains,Interaction,8
0.638399368,0.646679499,-0.564940253,2.039056038,5479.262677,1.000271546,Gains,Temp change,9
-0.0031904,0.009800305,-0.022421203,0.015874793,18374.69589,0.99995868,Gains,Average Temp,9
0.327931056,0.194450511,-0.052336502,0.707901378,19281.79575,1.000019319,Gains,Interaction,9
0.772881209,0.454221945,0.027725414,1.845236566,6908.224638,1.000416634,Gains,Temp change,10
0.01607468,0.009881165,-0.003771,0.035462291,22356.99581,1.000068957,Gains,Average Temp,10
0.257045391,0.17610587,-0.085619107,0.601979883,25207.10882,0.999852403,Gains,Interaction,10
0.170952606,0.516988506,-0.824593778,1.196337058,5148.17991,1.000442701,Gains,Temp change,11
