fixed.Estimate,fixed.Est.Error,fixed.l.95..CI,fixed.u.95..CI,fixed.Eff.Sample,fixed.Rhat,Metric,Term,run
-0.025691669,0.121380575,-0.261169564,0.197842102,5661.057522,1.001398482,Losses,Temp change,1
-0.021572001,0.004654613,-0.030840281,-0.012619482,16195.95146,0.999827398,Losses,Average Temp,1
-0.023156457,0.07887224,-0.181368268,0.130157912,26634.35631,0.999899522,Losses,Interaction,1
-0.154447068,0.221154894,-0.627423535,0.239315037,3321.813194,1.000964286,Losses,Temp change,2
-0.017250832,0.004636324,-0.026505009,-0.008215085,15311.48669,0.999916727,Losses,Average Temp,2
0.053836676,0.092343746,-0.129045425,0.236082427,24840.80609,0.999867048,Losses,Interaction,2
-0.083727739,0.207145722,-0.456946354,0.356412244,4700.768801,1.000889328,Losses,Temp change,3
-0.018279459,0.005835218,-0.030109793,-0.007068426,9680.80651,1.000008216,Losses,Average Temp,3
-0.046374237,0.102168797,-0.244258879,0.155148491,18955.65623,0.999885176,Losses,Interaction,3
-0.033142281,0.209219341,-0.442725665,0.382276831,5300.038352,1.000300156,Losses,Temp change,4
-0.028082284,0.005572769,-0.039004597,-0.017148134,20324.13037,0.999957666,Losses,Average Temp,4
-0.089550874,0.092567612,-0.272178865,0.09104,24335.44419,0.999913247,Losses,Interaction,4
-0.078172274,0.435026696,-0.810996481,0.827846704,2368.215836,1.001814584,Losses,Temp change,5
-0.031266248,0.00732934,-0.045986837,-0.017098295,8263.431737,1.000084999,Losses,Average Temp,5
0.23388127,0.12356556,-0.007041494,0.477702522,16910.53365,1.000076135,Losses,Interaction,5
-0.119320622,0.448852635,-1.109419713,0.710798666,3999.70297,1.000226161,Losses,Temp change,6
-0.019997262,0.005069972,-0.029986294,-0.010257345,15342.25005,1.000068345,Losses,Average Temp,6
-0.116626453,0.093655971,-0.299959215,0.064215228,18465.44254,0.999828199,Losses,Interaction,6
-0.08114891,0.18092321,-0.460176522,0.21561295,3990.225807,1.001325458,Losses,Temp change,7
-0.022252805,0.004867134,-0.03188815,-0.013033783,12833.1167,1.000145301,Losses,Average Temp,7
0.100146856,0.087769128,-0.071663649,0.27294705,25649.7976,0.999898504,Losses,Interaction,7
-0.065586437,0.11151796,-0.293002579,0.165149015,8207.445544,1.000229535,Losses,Temp change,8
-0.014168196,0.004152149,-0.022514105,-0.006223456,16510.99453,0.999855797,Losses,Average Temp,8
0.114148052,0.086580343,-0.055879111,0.284140672,25346.56957,0.999821224,Losses,Interaction,8
0.070697679,0.258049104,-0.430540131,0.592768625,6388.722339,1.000752276,Losses,Temp change,9
-0.026919476,0.006179417,-0.039116561,-0.014738555,14431.55748,0.999888827,Losses,Average Temp,9
-0.116888085,0.111248888,-0.336439251,0.100529663,23549.17134,0.999862022,Losses,Interaction,9
-0.476944481,0.604525048,-1.760331725,0.620272114,3777.032699,1.00176028,Losses,Temp change,10
-0.023530255,0.005752821,-0.034751228,-0.012195282,16059.51038,0.999823976,Losses,Average Temp,10
-0.294737965,0.094902105,-0.485139587,-0.111830253,19018.02382,0.999802593,Losses,Interaction,10
0.005484924,0.137598189,-0.272956757,0.275731301,4881.968103,1.000478859,Losses,Temp change,11
-0.018184383,0.004475473,-0.02684292,-0.009423694,16605.2819,1.000016853,Losses,Average Temp,11
-0.052393547,0.076404929,-0.20426394,0.098010146,15659.49914,1.000005484,Losses,Interaction,11
-0.219503633,0.242221984,-0.727230257,0.231954106,6343.423591,1.000298777,Losses,Temp change,12
-0.0355644,0.006467655,-0.048386306,-0.023161285,14316.0201,0.999966148,Losses,Average Temp,12
0.136775566,0.108287753,-0.075713355,0.345945602,25645.36651,0.999825727,Losses,Interaction,12
-0.433817073,0.526601668,-1.582630626,0.569303878,5258.95106,0.999912896,Losses,Temp change,13
-0.021855374,0.005096226,-0.031728417,-0.011942648,17486.77214,1.000261059,Losses,Average Temp,13
-0.06043631,0.094317325,-0.246158423,0.124171486,18667.45899,0.999851543,Losses,Interaction,13
-0.178497788,0.377035678,-1.031209439,0.419676107,2793.483218,1.001514019,Losses,Temp change,14
-0.015079615,0.006233766,-0.027486375,-0.003012772,8736.675032,1.00033219,Losses,Average Temp,14
-0.069679142,0.106848605,-0.282255267,0.140376655,19345.92492,1.000032688,Losses,Interaction,14
-0.064507823,0.216449916,-0.476268046,0.350466315,4957.27608,1.000188515,Losses,Temp change,15
-0.026385799,0.005449206,-0.037024977,-0.015695194,16970.30714,0.999981367,Losses,Average Temp,15
-0.126049943,0.093934505,-0.311273816,0.056535778,20739.63612,1.000104683,Losses,Interaction,15
-0.129600812,0.193283446,-0.510293023,0.259499052,7734.073515,0.999829254,Losses,Temp change,16
-0.015630023,0.006239672,-0.028243421,-0.003936878,12108.87496,1.000019162,Losses,Average Temp,16
-0.225804739,0.112106722,-0.444019968,-0.005673592,26204.61886,0.999936923,Losses,Interaction,16
-0.686598475,0.677869251,-2.067609649,0.695361843,4876.777028,1.000733599,Losses,Temp change,17
-0.016652233,0.006457368,-0.029459991,-0.004292079,18766.41335,0.999895248,Losses,Average Temp,17
-0.23993955,0.122301853,-0.475887697,0.000470266,22311.51726,0.999899852,Losses,Interaction,17
-0.478246848,0.880247439,-2.197847919,1.258155514,5147.060319,1.000556088,Losses,Temp change,18
-0.001345511,0.005590559,-0.012265549,0.009540953,21709.43667,0.999800871,Losses,Average Temp,18
-0.052286993,0.11130613,-0.272638419,0.164606221,23926.32607,0.999869606,Losses,Interaction,18
0.061502087,0.254918826,-0.441092433,0.548131859,2279.713239,1.001513092,Losses,Temp change,19
-0.024967867,0.005008254,-0.034796558,-0.015128921,17294.15569,0.999913867,Losses,Average Temp,19
-0.023290032,0.090638085,-0.201742819,0.152464168,20053.2411,1.000051117,Losses,Interaction,19
-0.190884371,0.283473104,-0.835943072,0.271203968,5442.181703,1.000556305,Losses,Temp change,20
-0.026889858,0.004938666,-0.036660746,-0.017286389,13721.35983,0.999934908,Losses,Average Temp,20
0.024968786,0.088101543,-0.147428653,0.196573838,18819.78088,0.999902346,Losses,Interaction,20
-0.138617315,0.243583737,-0.647623875,0.314022599,3723.696625,1.0007368,Losses,Temp change,21
-0.016829438,0.005144255,-0.026923401,-0.006763346,12033.57302,0.999979467,Losses,Average Temp,21
-0.176533108,0.077175382,-0.327305968,-0.026539652,17758.30584,0.999850887,Losses,Interaction,21
-0.524708637,0.745687349,-2.032571362,0.959781136,5126.54741,1.000332669,Losses,Temp change,22
-0.016913879,0.00585832,-0.028434745,-0.005532874,17927.83392,0.999816202,Losses,Average Temp,22
0.09211541,0.105476167,-0.116708245,0.297431739,24382.04411,0.999867785,Losses,Interaction,22
-0.275441207,0.418052628,-1.153962975,0.477266984,3430.361999,1.000808141,Losses,Temp change,23
-0.024718455,0.00563236,-0.035746354,-0.013759608,17442.55134,0.999931211,Losses,Average Temp,23
-0.030988358,0.105334302,-0.234952762,0.17265116,22926.40979,0.999924096,Losses,Interaction,23
-0.228553821,0.280449279,-0.818389967,0.310255237,5425.86427,1.000791823,Losses,Temp change,24
-0.024603197,0.005315014,-0.035005072,-0.014126918,16152.78059,1.000155058,Losses,Average Temp,24
0.037136448,0.096463156,-0.151933092,0.224120521,17621.40078,0.99992048,Losses,Interaction,24
-0.028947154,0.210864639,-0.449497522,0.349947418,3488.739865,1.000513775,Losses,Temp change,25
-0.032079305,0.006147069,-0.044279654,-0.019900362,18974.17162,0.999896591,Losses,Average Temp,25
-0.155419619,0.110568428,-0.372163338,0.062775122,27329.10969,0.999845833,Losses,Interaction,25
-0.134056826,0.13173922,-0.377674882,0.126994845,3862.323252,1.000156191,Losses,Temp change,26
-0.021769535,0.00482177,-0.031461748,-0.01275761,10475.20156,1.000068106,Losses,Average Temp,26
0.013943609,0.091011711,-0.165248461,0.187131698,23840.23512,0.999858502,Losses,Interaction,26
-0.262335608,0.286556829,-0.914785726,0.200511759,4664.684438,1.000374594,Losses,Temp change,27
