fixed.Estimate,fixed.Est.Error,fixed.l.95..CI,fixed.u.95..CI,fixed.Eff.Sample,fixed.Rhat,Metric,Term,run
0.181209643,0.196641857,-0.184873784,0.604857829,4444.349055,1.000261216,Richness,Temp change,1
0.00330488,0.001787421,-0.000234479,0.006827811,18424.26892,0.99981277,Richness,Average Temp,1
0.187107537,0.039514466,0.108619792,0.264578843,21060.05839,1.000033099,Richness,Interaction,1
0.10082649,0.155160541,-0.199560617,0.412330612,4760.813675,1.000816865,Richness,Temp change,2
0.001175229,0.001755054,-0.002214787,0.004690127,17290.77798,0.999841665,Richness,Average Temp,2
0.070120387,0.03841056,-0.00446924,0.14512934,22259.70691,0.999938208,Richness,Interaction,2
0.088619341,0.119937898,-0.143090729,0.320150881,3754.700101,1.000251749,Richness,Temp change,3
0.00217356,0.001733816,-0.001211325,0.005620117,17908.7566,0.999991569,Richness,Average Temp,3
0.117537982,0.0365856,0.046014345,0.189113327,18843.62482,1.000034112,Richness,Interaction,3
0.087062109,0.139222798,-0.17987516,0.355601651,3666.782334,1.000557032,Richness,Temp change,4
0.002724547,0.001671772,-0.000552189,0.005966827,18277.91436,1.000036483,Richness,Average Temp,4
0.063622793,0.039063067,-0.01244477,0.139397504,17506.25747,0.999997444,Richness,Interaction,4
0.143352164,0.098897072,-0.033428707,0.354433262,5167.078965,1.000672456,Richness,Temp change,5
-0.001582795,0.001807808,-0.005089642,0.001975919,22233.01398,0.999934747,Richness,Average Temp,5
0.199679126,0.03891849,0.124669274,0.276269146,20020.66128,0.99992588,Richness,Interaction,5
0.105060902,0.159610779,-0.209416958,0.429980075,4433.301978,1.000169128,Richness,Temp change,6
0.000335168,0.001714038,-0.002980225,0.00371445,17261.88903,0.999842207,Richness,Average Temp,6
0.138815555,0.039127661,0.0626776,0.215740091,18083.3511,0.999990166,Richness,Interaction,6
-0.014623256,0.12066792,-0.273445062,0.203555876,5529.107229,1.000459907,Richness,Temp change,7
0.002024798,0.001736939,-0.001360748,0.005501033,18237.03055,0.999855602,Richness,Average Temp,7
0.123439886,0.037207593,0.05059822,0.197122778,21424.39034,0.999975643,Richness,Interaction,7
0.038911389,0.197857338,-0.387766822,0.366817259,3696.996069,1.00008833,Richness,Temp change,8
0.00195061,0.001824394,-0.001629015,0.00560696,19989.27339,0.999856897,Richness,Average Temp,8
0.232166111,0.039384797,0.155468942,0.309843354,22460.28666,0.999899115,Richness,Interaction,8
0.160500016,0.086058593,0.015404629,0.347260966,5359.509152,1.000486271,Richness,Temp change,9
0.003052609,0.001678866,-0.00020529,0.006352424,21556.09284,0.999927012,Richness,Average Temp,9
0.115928403,0.037109168,0.042819539,0.189004282,22857.43964,0.999904766,Richness,Interaction,9
0.087994761,0.079505566,-0.084877332,0.237282796,5461.619599,1.000558295,Richness,Temp change,10
-8.94E-05,0.001791326,-0.003592743,0.003425336,16331.98087,0.999969338,Richness,Average Temp,10
0.111521915,0.038763268,0.035961105,0.187097228,15836.96872,0.999880728,Richness,Interaction,10
0.072992725,0.104759737,-0.143897942,0.26613629,4515.226495,1.000597499,Richness,Temp change,11
-0.000679816,0.001705021,-0.004048264,0.002679497,18358.3956,0.999953149,Richness,Average Temp,11
0.128588547,0.038391195,0.053316942,0.20249928,18373.50353,0.999825781,Richness,Interaction,11
0.205127392,0.153621127,-0.081249694,0.513934553,2816.89341,1.002100292,Richness,Temp change,12
0.002898704,0.001911478,-0.000855052,0.006625606,18825.07479,0.99996547,Richness,Average Temp,12
0.101827954,0.036875347,0.029477546,0.174447019,17811.57405,0.999910838,Richness,Interaction,12
0.078809191,0.167328902,-0.254650516,0.40794073,4687.242532,1.000159607,Richness,Temp change,13
0.001461203,0.001800655,-0.002084891,0.004977204,21383.54123,0.999858167,Richness,Average Temp,13
0.070194917,0.039128285,-0.005898311,0.147542491,19274.61325,0.999864967,Richness,Interaction,13
0.085503888,0.127737823,-0.142585839,0.342839058,3605.075083,1.000274208,Richness,Temp change,14
0.000852355,0.001993275,-0.003110067,0.004745011,22518.23374,0.999870814,Richness,Average Temp,14
0.064090105,0.03843925,-0.012223218,0.140466162,23208.73664,0.999887896,Richness,Interaction,14
0.169054877,0.181600155,-0.160203813,0.549396107,4238.734912,1.000027463,Richness,Temp change,15
0.005853666,0.001801297,0.002309282,0.009353308,18180.349,0.999888918,Richness,Average Temp,15
-0.003425171,0.03464372,-0.071180141,0.064920366,20343.93209,0.999935703,Richness,Interaction,15
0.10344459,0.075392427,-0.040380276,0.263038474,6331.434357,1.000193756,Richness,Temp change,16
0.004346938,0.001778502,0.000828198,0.007796466,19068.94592,0.999911431,Richness,Average Temp,16
0.024636388,0.036663321,-0.046787699,0.09742813,20332.25976,0.999913021,Richness,Interaction,16
0.096824317,0.128110548,-0.111787383,0.387768719,4728.741425,0.999983373,Richness,Temp change,17
0.003030757,0.001550142,4.58E-05,0.00606652,19545.74336,1.000089968,Richness,Average Temp,17
0.058691287,0.036489066,-0.013433576,0.130289977,19444.65505,0.999906357,Richness,Interaction,17
0.203915309,0.1888276,-0.16427638,0.584856064,3453.766194,1.000457244,Richness,Temp change,18
-0.000977795,0.001918151,-0.004689179,0.002753506,12197.505,1.000111491,Richness,Average Temp,18
0.073615927,0.039316695,-0.002748316,0.150485201,16942.79462,1.000267337,Richness,Interaction,18
0.103753749,0.089691448,-0.083093176,0.277120932,6036.198997,1.000211747,Richness,Temp change,19
0.001329868,0.001866022,-0.002285718,0.004995128,15636.07804,0.999933693,Richness,Average Temp,19
0.11117422,0.03621431,0.040115455,0.182000221,17697.55219,1.000152169,Richness,Interaction,19
